Artocarpus nobilis ,J.R. & G. Forst.,Moraceae,Artocarpus communis J. R. & G. Forst.; Artocarpus incisus L. f. ; Radermachia incisa Thunb.; Sitodium altile Parkinson,,Artocarpus nobilis Thwaites,SPECIES,Moraceae,Artocarpus nobilis,100,EXACT
Asclepias curassavica ,L.,Asclepiadaceae,Asclepias margaritacea Hoffmanns.  A. nivea L. var. curassavica (L.) Kuntze,,Asclepias curassavica L.,SPECIES,Apocynaceae,Asclepias curassavica,100,EXACT
Asparagus densiflorus ,(Kunth) Jessop sprengeri,Liliaceae,Asparagopsis densiflora Kunth,"Arbre à pin, Châtaignier-pays",Asparagus densiflorus (Kunth) Jessop,SPECIES,Asparagaceae,Asparagus densiflorus,100,EXACT
Asparagus plumosus ,Bak.,Liliaceae,Protasparagus plumosus (Bak.) Oberm.,Asclépiade de Curaçao,Asparagus plumosus Baker,SPECIES,Asparagaceae,Asparagus plumosus,100,EXACT
Asparagus scandens ,Bak. deflexus,Liliaceae,,Asparagus,Asparagus scandens Thunb.,SPECIES,Asparagaceae,Asparagus scandens,100,EXACT
Asparagus sprengeri ,Bak. ,Liliaceae,,Asparagus des fleuristes,Asparagus sprengeri Regel,SPECIES,Asparagaceae,Asparagus sprengeri,100,EXACT
Asplenium nidus ,L.,Aspleniaceae,Asplenium scalapendrium Lour. ; AspleniumficifaliumGoldm. ; Thamnapteris nidus (L.) C. Presl.;A. ellipticum (Fee) Cop.,Fougère,Asplenium nidus L.,SPECIES,Aspleniaceae,Asplenium nidus,100,EXACT
Asplenium viviparum ,(L.fil.) C.Presl,Aspleniaceae,,,Asplenium viviparum Blume,SPECIES,Aspleniaceae,Asplenium viviparum,100,EXACT
Averrhoa carambola ,L.,Oxalidaceae,,,Averrhoa carambola L.,SPECIES,Oxalidaceae,Averrhoa carambola,100,EXACT
Azadirachta indica ,A. Juss.,Meliaceae,Melia azadirachta L.,Fougère nid d'oiseau,Azadirachta indica A. Juss.,SPECIES,Meliaceae,Azadirachta indica,100,EXACT
Bambusa multiplex, (Lour.) Raeusch. ex Schult. & Schult.f.,Poaceae,Arundo multiplex Lour.,,Bambusa multiplex (Lour.) Raeusch. ex Schult.,SPECIES,Poaceae,Bambusa multiplex,100,EXACT
Bambusa nana ,Roxb.,Poaceae,,"Margousier, Neem",Bambusa nana Roxb.,SPECIES,Poaceae,Bambusa nana,100,EXACT
Bambusa vulgaris ,Schrader ex Wendl.,Poaceae,,Bambou,Bambusa vulgaris Schrad.,SPECIES,Poaceae,Bambusa vulgaris,100,EXACT
Barleria lupulina ,Lindl.,Acanthaceae,,,Barleria lupulina Lindl.,SPECIES,Acanthaceae,Barleria lupulina,100,EXACT
Begonia aconitifolia ,Lam.,Begoniaceae,,,Begonia aconitifolia A.DC.,SPECIES,Begoniaceae,Begonia aconitifolia,100,EXACT
Begonia cathayana ,Hemsl.,Begoniaceae,,,Begonia cathayana Hemsl.,SPECIES,Begoniaceae,Begonia cathayana,100,EXACT
Begonia cleopatra ,Lem.,Begoniaceae,,,Begonia L.,GENUS,Begoniaceae,Begonia,96,HIGHERRANK
Begonia decora ,Stapf. rhizomatous,Begoniaceae,,Begonia,Begonia decora Stapf,SPECIES,Begoniaceae,Begonia decora,100,EXACT
Begonia deliciosa ,Linden ex Fotsch,Begoniaceae,,,Begonia deliciosa Linden ex Fotsch,SPECIES,Begoniaceae,Begonia deliciosa,100,EXACT
Begonia exotica ,Lem.,Begoniaceae,,,Begonia hexaptera Sands,SPECIES,Begoniaceae,Begonia hexaptera,82,FUZZY
Begonia heracleifolia ,Cham. & Schltdl.,Begoniaceae,,,Begonia heracleifolia Cham. & Schltdl.,SPECIES,Begoniaceae,Begonia heracleifolia,100,EXACT
Begonia lucerna ,Blume.,Begoniaceae,,,Begonia lucida Haw.,SPECIES,Begoniaceae,Begonia lucida,86,FUZZY
Begonia masoniana ,Irmsch.,Begoniaceae,,,Begonia masoniana Irmsch. ex Ziesenh.,SPECIES,Begoniaceae,Begonia masoniana,100,EXACT
Begonia semperflorens ,Hook.,Begoniaceae,,,Begonia semperflorens Link & Otto,SPECIES,Begoniaceae,Begonia semperflorens,100,EXACT
Beloperone guttata ,Brandegee,Acanthaceae,,,Beloperone guttata Brandegee,SPECIES,Acanthaceae,Beloperone guttata,100,EXACT
Billbergia zebrina ,Lindl.,Bromeliaceae,,,Billbergia zebrina (Herb.) Lindl.,SPECIES,Bromeliaceae,Billbergia zebrina,100,EXACT
Bismarckia nobilis ,Hildebr. & H.Wendl.,Arecaceae,,Plante aux crevettes; Queue d'écrevisse,Bismarckia nobilis Hildebr. & H.Wendl.,SPECIES,Arecaceae,Bismarckia nobilis,100,EXACT
Borassus aethiopum ,Mart.,Arecaceae,,,Borassus aethiopum Mart.,SPECIES,Arecaceae,Borassus aethiopum,99,EXACT
Bougainvillea glabra ,Choisy,Nyctagynaceae,Bougainvillea spectabilis Willd.  var. glabra (Choisy) Hook.,Palmier de Bismarck,Bougainvillea glabra Choisy,SPECIES,Nyctaginaceae,Bougainvillea glabra,100,EXACT
Bougainvillea harisii ,Hort.,Nyctagynaceae,,"Rônier, Borasse éthiopien","Bougainvillea Commerson ex A.L. Jussieu, 1789",GENUS,Nyctaginaceae,Bougainvillea,91,HIGHERRANK
Bougainvillea spectabilis ,Willd.,Nyctagynaceae,Bougainvillea spectabilis Willd. var. typica Heimerl,Bougainvillier,Bougainvillea spectabilis Willd.,SPECIES,Nyctaginaceae,Bougainvillea spectabilis,100,EXACT
Bougainvillea spectabilis ,Willd. var. ‘Mary Palmer,Nyctagynaceae,,,Bougainvillea spectabilis Willd.,SPECIES,Nyctaginaceae,Bougainvillea spectabilis,100,EXACT
Bougainvillea spectabilis ,Willd. var. rubra plena,Nyctagynaceae,,,Bougainvillea spectabilis Willd.,SPECIES,Nyctaginaceae,Bougainvillea spectabilis,100,EXACT
Bougainvillea spectabilis ,Willd. var. variegata,Nyctagynaceae,,,Bougainvillea spectabilis Willd.,SPECIES,Nyctaginaceae,Bougainvillea spectabilis,100,EXACT
