"basisOfRecord","occurrenceID","catalogNumber","scientificName","nomenclatureCode","family","eventDate","decimalLatitude","decimalLongitude","geodeticDatum","countryCode","locality","observer"
"HumanObservation","urn:MRBIF:ENSN:OCN:00046","46","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2008","16.53803","-10.74155","WGS84","MR","Metraoucha","Brito JC et al.2011;Nickel, H. 2003"
"HumanObservation","urn:MRBIF:ENSN:OCN:00047","47","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2008","16.57915","-10.70455","WGS84","MR","OummelMhâr","BritoJCetal.2011"
"HumanObservation","urn:MRBIF:ENSN:OCN:00048","48","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2008","16.68758","-10.19136","WGS84","MR","ElMefga","BritoJCetal.2011"
"HumanObservation","urn:MRBIF:ENSN:OCN:00049","49","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2008","16.70180","-10.18359","WGS84","MR","Kour","BritoJCetal.2011;Kirsch-Jungetal.2007"
"HumanObservation","urn:MRBIF:ENSN:OCN:00050","50","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2008","16.51556","-10.45291","WGS84","MR","CheggelMâleh","BritoJCetal.2011"
"HumanObservation","urn:MRBIF:ENSN:OCN:00051","51","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2000/2007","16.15233","-10.35667","WGS84","MR","LemsilleGharghar","Kirsch-Jungetal.2007"
"HumanObservation","urn:MRBIF:ENSN:OCN:00052","52","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2008","16.65499","-9.70784","WGS84","MR","GuelbSamba","BritoJCetal.2011"
"HumanObservation","urn:MRBIF:ENSN:OCN:00053","53","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2000/2007","16.67533","-9.30600","WGS84","MR","Rachida","Kirsch-Jungetal.2007"
"HumanObservation","urn:MRBIF:ENSN:OCN:00054","54","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2000/2007","16.42538","-9.63071","WGS84","MR","Chelkha","Kirsch-Jungetal.2007"
"HumanObservation","urn:MRBIF:ENSN:OCN:00055","55","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2008","16.40315","-9.55986","WGS84","MR","Goungel","BritoJCetal.2011;Kirsch-Jungetal.2007"
"HumanObservation","urn:MRBIF:ENSN:OCN:00056","56","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2000/2007","16.38470","-9.30056","WGS84","MR","OumLelli","Kirsch-Jungetal.2007"
"HumanObservation","urn:MRBIF:ENSN:OCN:00057","57","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2000/2007","16.29671","-9.25699","WGS84","MR","GaâtSawana","Kirsch-Jungetal.2007"
"HumanObservation","urn:MRBIF:ENSN:OCN:00058","58","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2000/2007","15.85783","-9.01683","WGS84","MR","OumAzvavail","Kirsch-Jungetal.2007"
"HumanObservation","urn:MRBIF:ENSN:OCN:00059","59","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2000/2007","15.74516","-9.68080","WGS84","MR","GaâtTouil","Kirsch-Jungetal.2007"
"HumanObservation","urn:MRBIF:ENSN:OCN:00060","60","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2000/2007","15.50483","-9.81683","WGS84","MR","OuldAgueila","Kirsch-Jungetal.2007"
