id,basisOfRecord,occurrenceid,scientificname,family,locality,countrycode,barcode,STATION,day,month,year,decimal_latitude,decimal_longitude
51721,preservedSpecimen,urn:mrbif:ens:hnm:51721,Piliostigma reticulatum (DC.) Hochst.,Leguminosae-Caesalpinioideae,Kaedi,MR,HNM01561,Environ 37 km kaedi-maghama,18,11,1992,16.1465300637225,-13.5047391609149
51722,preservedSpecimen,urn:mrbif:ens:hnm:51722,Cassia italica (Mill.) Andr.,Leguminosae-Caesalpinioideae,Akjoujt,MR,HNM01562,Ouest d'Akjoujt,8,5,1992,19.696944,-14.416389
51723,preservedSpecimen,urn:mrbif:ens:hnm:51723,Tamarindus indica L.,Leguminosae-Caesalpinioideae,Aioun el Atrouss,MR,HNM01563,aioun,22,12,1989,16.5825,-9.584721999999999
51724,preservedSpecimen,urn:mrbif:ens:hnm:51724,Cassia obtusifolia L.,Leguminosae-Caesalpinioideae,Kankossa,MR,HNM01564,Kankossa,22,11,1992,16.016667,-11.533333
51725,preservedSpecimen,urn:mrbif:ens:hnm:51725,Cassia italica (Mill.) Andr.,Leguminosae-Caesalpinioideae,Akjoujt,MR,HNM01565,Ouest d'Akjoujt,8,5,1992,19.696944,-14.416389
51726,preservedSpecimen,urn:mrbif:ens:hnm:51726,Cassia obtusifolia L.,Leguminosae-Caesalpinioideae,Kankossa,MR,HNM01566,Kankossa,22,11,1992,16.016667,-11.533333
51727,preservedSpecimen,urn:mrbif:ens:hnm:51727,Cassia italica (Mill.) Andr.,Leguminosae-Caesalpinioideae,Nouakchott,MR,HNM01567,Environ  50 km au sud de Nouakchott,30,11,1990,18.119444,-16.040556
51728,preservedSpecimen,urn:mrbif:ens:hnm:51728,Cassia sp.,Leguminosae-Caesalpinioideae,Kaedi,MR,HNM01568,CVK de Kaédi,17,11,1992,16.1465300637225,-13.5047391609149
51729,preservedSpecimen,urn:mrbif:ens:hnm:51729,Cassia italica (Mill.) Andr.,Leguminosae-Caesalpinioideae,Akjoujt,MR,HNM01569,Ouest d'Akjoujt,8,5,1992,19.696944,-14.416389
51730,preservedSpecimen,urn:mrbif:ens:hnm:51730,Cassia occidentalis L.,Leguminosae-Caesalpinioideae,Selibaby,MR,HNM01570,Ouad El Garva,20,11,1992,15.158945880535,-12.1828970609949
51731,preservedSpecimen,urn:mrbif:ens:hnm:51731,Cassia tora L.,Leguminosae-Caesalpinioideae,Kaedi,MR,HNM01571,Environ 37 km kaedi-maghama,18,11,1992,16.1465300637225,-13.5047391609149
51732,preservedSpecimen,urn:mrbif:ens:hnm:51732,Cassia ,Leguminosae-Caesalpinioideae,Kaedi,MR,HNM01572,E.N.F.V.A.  (Kaedi),18,11,1992,16.1465300637225,-13.5047391609149
51733,preservedSpecimen,urn:mrbif:ens:hnm:51733,Salvia aegyptiaca L.,Labiatae,Tmeimichat,MR,HNM01573,Ouest Tmeimichat,11,5,1992,21.216944,-14.343333
51734,preservedSpecimen,urn:mrbif:ens:hnm:51734,Acacia senegal (Linn.) Willd.,Leguminosae-Mimosoideae,Djouk,MR,HNM01574,Djouk,21,12,1989,17.1125,-12.150278
51735,preservedSpecimen,urn:mrbif:ens:hnm:51735,Mimosa pigra L.,Leguminosae-Mimosoideae,Jeder el Mohguene,MR,HNM01575,Jeder el Mohguene - Rosso,16,12,1993,16.510278,-15.654444
51736,preservedSpecimen,urn:mrbif:ens:hnm:51736,Acacia ataxacantha DC.,Leguminosae-Mimosoideae,Gouraye,MR,HNM01576,Gouraye - Maghama,14,12,1993,14.9090080570315,-12.4139558305365
51737,preservedSpecimen,urn:mrbif:ens:hnm:51737,Acacia ataxacantha DC.,Leguminosae-Mimosoideae,Selibaby,MR,HNM01577,Ouad El Garva,20,11,1992,15.158945880535,-12.1828970609949
51738,preservedSpecimen,urn:mrbif:ens:hnm:51738,Dalbergia melanoxylon Guill. & Perr.,Leguminosae-Papilionoideae,Selibaby,MR,HNM01578,Ouad El Garva,20,11,1992,15.158945880535,-12.1828970609949
51739,preservedSpecimen,urn:mrbif:ens:hnm:51739,Acacia senegal (Linn.) Willd.,Leguminosae-Mimosoideae,Djouk,MR,HNM01579,Djouk,6,1,1989,17.1125,-12.150278
51740,preservedSpecimen,urn:mrbif:ens:hnm:51740,Acacia seyal Del.,Leguminosae-Mimosoideae,<null>,MR,HNM01580,El Ghaïre,26,12,1989,<null>,<null>
51741,preservedSpecimen,urn:mrbif:ens:hnm:51741,Acacia senegal (Linn.) Willd.,Leguminosae-Mimosoideae,Zrafie,MR,HNM01581,Zrafié ou Zraviya,22,12,1989,16.483333,-10.716667
51742,preservedSpecimen,urn:mrbif:ens:hnm:51742,Acacia sp.,Leguminosae-Caesalpinioideae,Selibaby,MR,HNM01582,El Jedida,20,11,1992,15.158945880535,-12.1828970609949
51743,preservedSpecimen,urn:mrbif:ens:hnm:51743,Acacia albida Delile,Leguminosae-Mimosoideae,Kaedi,MR,HNM01583,Environ 21 km Kaedi-Maghama,18,11,1992,16.1465300637225,-13.5047391609149
51744,preservedSpecimen,urn:mrbif:ens:hnm:51744,Acacia seyal Del.,Leguminosae-Mimosoideae,Kaedi,MR,HNM01584,Environ 21 km Kaedi-Maghama,18,11,1992,16.1465300637225,-13.5047391609149
51745,preservedSpecimen,urn:mrbif:ens:hnm:51745,Acacia macrostachya Rchb. ex Benth.,Leguminosae-Mimosoideae,Selibaby,MR,HNM01585,Selibaby - Ghabou,13,12,1993,15.158945880535,-12.1828970609949
51746,preservedSpecimen,urn:mrbif:ens:hnm:51746,Acacia seyal Del.,Leguminosae-Mimosoideae,Moundi,MR,HNM01586,Forêt de Moundi,21,11,1992,16.6912067074356,-14.0313772787494
51747,preservedSpecimen,urn:mrbif:ens:hnm:51747,Acacia ataxacantha DC.,Leguminosae-Mimosoideae,<null>,MR,HNM01587,Gdimballa,10,12,1993,<null>,<null>
51748,preservedSpecimen,urn:mrbif:ens:hnm:51748,Acacia nilotica (L.) Willd. ex Delile,Leguminosae-Mimosoideae,Kiffa,MR,HNM01588,Tamourt Billemtar,21,12,1989,16.549444,-11.409167
51749,preservedSpecimen,urn:mrbif:ens:hnm:51749,Acacia nilotica (L.) Willd. ex Delile,Leguminosae-Mimosoideae,Timbedra,MR,HNM01589,Timbédra,8,1,1989,16.181944,-8.104722000000001
51750,preservedSpecimen,urn:mrbif:ens:hnm:51750,Acacia sieberiana DC.,Leguminosae-Mimosoideae,Jeder el Mohguene,MR,HNM01590,Jeder el Mohguene,16,12,1993,16.510278,-15.654444
51751,preservedSpecimen,urn:mrbif:ens:hnm:51751,Mimosa pigra L.,Leguminosae-Mimosoideae,Tiekane,MR,HNM01591,Tiekane,19,6,1990,16.578056,-15.459722
51752,preservedSpecimen,urn:mrbif:ens:hnm:51752,Acacia ehrenbergiana Hayne,Leguminosae-Mimosoideae,<null>,MR,HNM01592,Essiyassa,19,12,1989,<null>,<null>
51753,preservedSpecimen,urn:mrbif:ens:hnm:51753,Crotalaria saharae Coss.,Leguminosae-Papilionoideae,<null>,MR,HNM01593,<null>,<null>,<null>,<null>,<null>,<null>
51754,preservedSpecimen,urn:mrbif:ens:hnm:51754,Crotalaria saharae Coss.,Leguminosae-Papilionoideae,<null>,MR,HNM01594,Teverit,18,10,1990,<null>,<null>
51755,preservedSpecimen,urn:mrbif:ens:hnm:51755,Crotalaria saharae Coss.,Leguminosae-Papilionoideae,Tmeimichat,MR,HNM01595,Ouest Tmeimichat Edekmar,11,5,1992,21.216944,-14.343333
51756,preservedSpecimen,urn:mrbif:ens:hnm:51756,Dalbergia melanoxylon,Leguminosae-Papilionoideae,Selibaby,MR,HNM01596,Ouad El Garva,20,11,1992,15.158945880535,-12.1828970609949
51757,preservedSpecimen,urn:mrbif:ens:hnm:51757,Crotalaria,Leguminosae-Papilionoideae,Kaedi,MR,HNM01597,CVK de Kaédi,17,11,1992,16.1465300637225,-13.5047391609149
51758,preservedSpecimen,urn:mrbif:ens:hnm:51758,Crotalaria,Leguminosae-Papilionoideae,Kaedi,MR,HNM01598,CVK de Kaédi,17,11,1992,16.1465300637225,-13.5047391609149
51759,preservedSpecimen,urn:mrbif:ens:hnm:51759,Alysicarpus ovalifolius (Schum.) J.Léonard,Leguminosae-Papilionoideae,Maghama,MR,HNM01599,Tachout (environ 15 km au nord de Maghama),19,11,1992,15.5091528104622,-12.8500550302222
51760,preservedSpecimen,urn:mrbif:ens:hnm:51760,Crotalaria arenaria Benth.,Leguminosae-Papilionoideae,<null>,MR,HNM01600,Lemjourmen,19,10,1990,<null>,<null>
51761,preservedSpecimen,urn:mrbif:ens:hnm:51761,Dichrostachys cinerea (L.) Wight & Arn.,Leguminosae-Mimosoideae,Moudji,MR,HNM01601,Mouddi,12,12,1993,<null>,<null>
51762,preservedSpecimen,urn:mrbif:ens:hnm:51762,Crotalaria saharae Coss.,Leguminosae-Papilionoideae,<null>,MR,HNM01602,H. Amilli,8,5,1992,<null>,<null>
51763,preservedSpecimen,urn:mrbif:ens:hnm:51763,Crotalaria saharae Coss.,Leguminosae-Papilionoideae,<null>,MR,HNM01603,H. Amilli,8,5,1992,<null>,<null>
51764,preservedSpecimen,urn:mrbif:ens:hnm:51764,Crotalaria arenaria Benth.,Leguminosae-Papilionoideae,<null>,MR,HNM01604,Teverit,18,10,1990,<null>,<null>
51765,preservedSpecimen,urn:mrbif:ens:hnm:51765,Astragalus vogelii (Webb) Bornm,Leguminosae-Papilionoideae,<null>,MR,HNM01605,<null>,<null>,<null>,<null>,<null>,<null>
51766,preservedSpecimen,urn:mrbif:ens:hnm:51766,Dalbergia melanoxylon Guill. & Perr.,Leguminosae-Papilionoideae,<null>,MR,HNM01606,El Jedida,21,11,1992,<null>,<null>
51767,preservedSpecimen,urn:mrbif:ens:hnm:51767,Dalbergia melanoxylon Guill. & Perr.,Leguminosae-Papilionoideae,<null>,MR,HNM01607,El Jedida,21,11,1992,<null>,<null>
51768,preservedSpecimen,urn:mrbif:ens:hnm:51768,Crotalaria saharae Coss.,Leguminosae-Papilionoideae,<null>,MR,HNM01608,Teverit,18,10,1990,<null>,<null>
51769,preservedSpecimen,urn:mrbif:ens:hnm:51769,Astragalus eremophilus Boiss.,Leguminosae-Papilionoideae,Amsaga,MR,HNM01609,Amsaga,9,5,1992,20.116667,-14.166667
51770,preservedSpecimen,urn:mrbif:ens:hnm:51770,Astragalus vogelii (Webb) Bornm,Leguminosae-Papilionoideae,Nema,MR,HNM01610,Dhraa Emane Ichigdane,9,5,1992,16.566389,-7.175833
51771,preservedSpecimen,urn:mrbif:ens:hnm:51771,Indigofera viscosa Lam.,Leguminosae-Papilionoideae,Kaedi,MR,HNM01611,CVK de Kaédi,17,11,1992,16.1465300637225,-13.5047391609149
51772,preservedSpecimen,urn:mrbif:ens:hnm:51772,Indigofera viscosa Lam.,Leguminosae-Papilionoideae,Kaedi,MR,HNM01612,CVK de Kaédi,17,11,1992,16.1465300637225,-13.5047391609149
51773,preservedSpecimen,urn:mrbif:ens:hnm:51773,Indigofera viscosa Lam.,Leguminosae-Papilionoideae,<null>,MR,HNM01613,Lemjourmen,19,10,1990,<null>,<null>
51774,preservedSpecimen,urn:mrbif:ens:hnm:51774,Indigofera sessiliflora DC.,Leguminosae-Papilionoideae,<null>,MR,HNM01614,Lemjourmen,19,10,1990,<null>,<null>
51775,preservedSpecimen,urn:mrbif:ens:hnm:51775,Indigofera sessiliflora DC.,Leguminosae-Papilionoideae,Ajwer,MR,HNM01615,Est Ajweir,19,10,1990,16.75,-8.683332999999999
