64,Jaculus jaculus,Linnaeus ,1758,Gerboise des steppes,"Jaculus jaculus (Linnaeus, 1758)",SPECIES,Dipodidae,Jaculus jaculus,100,EXACT
65,Graphiurus hueti,Rochebrune,1883,Graphiure de Huet,"Graphiurus hueti Rochebrune, 1883",SPECIES,Myoxidae,Graphiurus hueti,100,EXACT
66,Rattus rattus,Linnaeus ,1758,Rat noir,"Rattus rattus (Linnaeus, 1758)",SPECIES,Muridae,Rattus rattus,100,EXACT
67,Gerbillus nigeriae,Thomas & Hinton,1920,Gerbille du Niger,"Gerbillus nigeriae Thomas & Hinton, 1920",SPECIES,Muridae,Gerbillus nigeriae,100,EXACT
68,Gerbillus riggenbachi,Thomas,1903,Gerbille de Riggenbach,"Gerbillus riggenbachi Thomas, 1903",SPECIES,Muridae,Gerbillus riggenbachi,100,EXACT
69,Gerbillus nanus,Blanford,1875,Gerbille naine,"Gerbillus nanus Blanford, 1875",SPECIES,Muridae,Gerbillus nanus,100,EXACT
70,Gerbillus mauritaniae,Heim de Balsac,1943,Gerbille de Mauritanie,"Gerbillus mauritaniae (Heim de Balsac, 1943)",SPECIES,Muridae,Gerbillus mauritaniae,100,EXACT
71,Gerbillus pyramidum,Geoffroy,1825,Grande gerbille d'Égypte,"Gerbillus pyramidum Geoffroy, 1825",SPECIES,Muridae,Gerbillus pyramidum,100,EXACT
72,Gerbillus gerbillus,Olivier,1801,Petite gerbille du sable,"Gerbillus gerbillus (Olivier, 1801)",SPECIES,Muridae,Gerbillus gerbillus,100,EXACT
73,Gerbillus campestris,Loche,1867,Gerbille des champs,"Gerbillus campestris (Loche, 1867)",SPECIES,Muridae,Gerbillus campestris,100,EXACT
74,Gerbillus tarabuli,Thomas,1902,Gerbille de Libye,"Gerbillus tarabuli Thomas, 1902",SPECIES,Muridae,Gerbillus tarabuli,100,EXACT
75,Pachyuromys duprasi,Lataste,1880,Gerbille à queue grasse,"Pachyuromys duprasi Lataste, 1880",SPECIES,Muridae,Pachyuromys duprasi,100,EXACT
76,Arvicanthis niloticus,Desmarest,1822,Rat du Nil,"Arvicanthis niloticus (Desmarest, 1822)",SPECIES,Muridae,Arvicanthis niloticus,100,EXACT
77,Meriones crassus,Sundevall,1842,Mérione du désert,"Meriones crassus Sundevall, 1842",SPECIES,Muridae,Meriones crassus,100,EXACT
78,Meriones libycus,Lichtenstein,1823,Mérione de Libye,"Meriones libycus Lichtenstein, 1823",SPECIES,Muridae,Meriones libycus,100,EXACT
79,Taterillus arenarius, Robbins,1974,Gerbille d'Afrique occidentale,"Taterillus arenarius Robbins, 1974",SPECIES,Muridae,Taterillus arenarius,100,EXACT
80,Taterillus pygargus,Cuvier,1838,Gerbille-antilope,"Taterillus pygargus (F. Cuvier, 1838)",SPECIES,Muridae,Taterillus pygargus,100,EXACT
81,Desmodilliscus braueri,Wettstein,1916,Gerbille de Brauer,"Desmodilliscus braueri Wettstein, 1916",SPECIES,Muridae,Desmodilliscus braueri,100,EXACT
82,Psammomys obesus,Cretzschmar,1828,Gros rat du sable,"Psammomys obesus Cretzschmar, 1828",SPECIES,Muridae,Psammomys obesus,100,EXACT
83,Acomys cahirinus,Desmarest,1819,Rat épineux du Caire,"Acomys cahirinus (Desmarest, 1819)",SPECIES,Muridae,Acomys cahirinus,100,EXACT
84,Mastomys huberti,Wroughton,1909,Rat à mamelles multiples,"Mastomys huberti Wroughton, 1909",SPECIES,Muridae,Mastomys huberti,100,EXACT
85,Mus haussa,Thomas and Hinton,1920,Souris de Hausa,"Mus haussa (Thomas & Hinton, 1920)",SPECIES,Muridae,Mus haussa,100,EXACT
86,Mus musculus,Linnaeus ,1758,Souris commune,"Mus musculus Linnaeus, 1758",SPECIES,Muridae,Mus musculus,100,EXACT
87,Thryonomys swinderianus,Temminck,1827,Grand Rat des roseaux,"Thryonomys swinderianus (Temminck, 1827)",SPECIES,Thryonomyidae,Thryonomys swinderianus,100,EXACT
88,Cricetomys gambianus, Waterhouse,1840,Rat géant de Gambie,"Cricetomys gambianus Waterhouse, 1840",SPECIES,Muridae,Cricetomys gambianus,99,EXACT
89,Trichechus senegalensis,Link,1795,Lamantin du Sénégal,"Trichechus senegalensis Link, 1795",SPECIES,Trichechidae,Trichechus senegalensis,100,EXACT
90,Sousa teuszii,Kukenthal,1892,Dauphin à bosse de l'Atlantique,"Sousa teuszii (Kükenthal, 1892)",SPECIES,Delphinidae,Sousa teuszii,100,EXACT
91,Steno bredanensis,Lesson,1828,Dauphin à bec étroit,"Steno bredanensis (G. Cuvier in Lesson, 1828)",SPECIES,Delphinidae,Steno bredanensis,100,EXACT
92,Grampus griseus,Cuvier,1812,Dauphin gris,"Grampus griseus (G. Cuvier, 1812)",SPECIES,Delphinidae,Grampus griseus,100,EXACT
93,Tursiops truncatus,Montagu,1821,Dauphin à nez en bouteille,"Tursiops truncatus (Montagu, 1821)",SPECIES,Delphinidae,Tursiops truncatus,100,EXACT
94,Stenella frontalis,Cuvier,1829,Dauphin tacheté d'Atlantique,"Stenella frontalis (G. Cuvier, 1829)",SPECIES,Delphinidae,Stenella frontalis,100,EXACT
95,Stenella attenuata,Gray,1846,Dauphin douteux,"Stenella attenuata (Gray, 1846)",SPECIES,Delphinidae,Stenella attenuata,100,EXACT
96,Stenella longirostris,Gray,1828,Dauphin à long bec,"Stenella longirostris (Gray, 1828)",SPECIES,Delphinidae,Stenella longirostris,100,EXACT
97,Stenella coeruleoalba,Meyen,1833,Dauphin rayé,"Stenella coeruleoalba (Meyen, 1833)",SPECIES,Delphinidae,Stenella coeruleoalba,100,EXACT
98,Stenella clymene,Gray,1846,Dauphin Clymene,"Stenella clymene (Gray, 1850)",SPECIES,Delphinidae,Stenella clymene,100,EXACT
99,Delphinus delphis,Linnaeus ,1758,Dauphin commun à bec court,"Delphinus delphis Linnaeus, 1758",SPECIES,Delphinidae,Delphinus delphis,100,EXACT
100,Orcinus orca,Linnaeus ,1758,Orque,"Orcinus orca (Linnaeus, 1758)",SPECIES,Delphinidae,Orcinus orca,100,EXACT
101,Peponocephala electra,Gray,1846,Dauphin d'Électre,"Peponocephala electra (Gray, 1846)",SPECIES,Delphinidae,Peponocephala electra,100,EXACT
102,Globicephala melas,Traill,1809,Globicéphale noir,"Globicephala melas (Traill, 1809)",SPECIES,Delphinidae,Globicephala melas,100,EXACT
103,Globicephala macrorhynchus,Gray,1846,Baleine pilote,"Globicephala macrorhynchus Gray, 1846",SPECIES,Delphinidae,Globicephala macrorhynchus,99,EXACT
104,Phocoena phocoena,Linnaeus ,1758,Marsouin commun,"Phocoena phocoena (Linnaeus, 1758)",SPECIES,Phocoenidae,Phocoena phocoena,100,EXACT
105,Mesoplodon europaeus,Gervais,1855,Baleine à bec de Gervais,"Mesoplodon europaeus (Gervais, 1855)",SPECIES,Hyperoodontidae,Mesoplodon europaeus,100,EXACT
106,Mesoplodon densirostris,Blainville,1817,Baleine à bec de Blainville,"Mesoplodon densirostris (Blainville, 1817)",SPECIES,Hyperoodontidae,Mesoplodon densirostris,100,EXACT
107,Mesoplodon bidens,Sowerby,1804,Baleine de Sowerby,"Mesoplodon bidens (Sowerby, 1804)",SPECIES,Hyperoodontidae,Mesoplodon bidens,100,EXACT
108,Physeter macrocephalus,Linnaeus ,1758,Grand cachalot,"Physeter macrocephalus Linnaeus, 1758",SPECIES,Physeteridae,Physeter macrocephalus,100,EXACT
109,Kogia breviceps,Blainville,1838,Cachalot pygmée,"Kogia breviceps (Blainville, 1838)",SPECIES,Kogiidae,Kogia breviceps,100,EXACT
110,Balaenoptera musculus,Linnaeus ,1758,Baleine bleue,"Balaenoptera musculus (Linnaeus, 1758)",SPECIES,Balaenopteridae,Balaenoptera musculus,100,EXACT
111,Balaenoptera  physalus,Linnaeus ,1758,Rorqual commun,"Balaenoptera physalus (Linnaeus, 1758)",SPECIES,Balaenopteridae,Balaenoptera physalus,100,EXACT
112,Balaenoptera borealis,Lesson,1828,Rorqual boréal,"Balaenoptera borealis Lesson, 1828",SPECIES,Balaenopteridae,Balaenoptera borealis,100,EXACT
113,Balaenoptera edeni,Anderson ,1879,Rorqual tropical,"Balaenoptera edeni Anderson, 1879",SPECIES,Balaenopteridae,Balaenoptera edeni,100,EXACT
114,Balaenoptera acutorostrata,Lacepède,1804,Petit rorqual,"Balaenoptera acutorostrata Lacépède, 1804",SPECIES,Balaenopteridae,Balaenoptera acutorostrata,100,EXACT
115,Megaptera novaeangliae,Borowski,1781,Baleine à bosse,"Megaptera novaeangliae (Borowski, 1781)",SPECIES,Balaenopteridae,Megaptera novaeangliae,100,EXACT
