Fabaceae,Chamaecrista ,Chamaecrista nigricans ,(Vahl) Greene,Chamaecrista nigricans (Vahl) Greene,SPECIES,Fabaceae,Chamaecrista nigricans,100,EXACT
Fabaceae,Chamaecrista ,Chamaecrista absus, (L.) Irwin & Barneby,Chamaecrista absus (L.) H.S.Irwin & Barneby,SPECIES,Fabaceae,Chamaecrista absus,100,EXACT
Fabaceae,Chamaecrista ,Chamaecrista kirkii, (Oliv.) Standl.,Chamaecrista kirkii (Oliv.) Standl.,SPECIES,Fabaceae,Chamaecrista kirkii,100,EXACT
Fabaceae,Chamaecrista ,Chamaecrista mimosoides ,(L.) Greene,Chamaecrista mimosoides (L.) Greene,SPECIES,Fabaceae,Chamaecrista mimosoides,100,EXACT
Fabaceae,Chamaecrista ,Chamaecrista rotundifolia ,(Pers.) Greene,Chamaecrista rotundifolia (Pers.) Greene,SPECIES,Fabaceae,Chamaecrista rotundifolia,100,EXACT
Fabaceae,Chamaecrista ,Clitoria rubiginosa ,Juss. ex Pers.,Clitoria rubiginosa Pers.,SPECIES,Fabaceae,Clitoria rubiginosa,100,EXACT
Fabaceae,Chamaecrista ,Clitoria ternatea ,L.,Clitoria ternatea L.,SPECIES,Fabaceae,Clitoria ternatea,100,EXACT
Fabaceae,Crotalaria,Crotalaria cephalotes ,Steud.,Crotalaria cephalotes A.Rich.,SPECIES,Fabaceae,Crotalaria cephalotes,100,EXACT
Fabaceae,Crotalaria,Crotalaria hysopifolia ,Klotzsch,Crotalaria hyssopifolia Klotzsch,SPECIES,Fabaceae,Crotalaria hyssopifolia,93,FUZZY
Fabaceae,Crotalaria,Crotalaria occidentalis ,Hepper.,Crotalaria occidentalis Hepper,SPECIES,Fabaceae,Crotalaria occidentalis,100,EXACT
Fabaceae,Crotalaria,Crotalaria calycina ,Schrank,Crotalaria calycina Schrank,SPECIES,Fabaceae,Crotalaria calycina,100,EXACT
Fabaceae,Crotalaria,Crotalaria cleomifolia ,Welw. ex Baker,Crotalaria cleomifolia Baker,SPECIES,Fabaceae,Crotalaria cleomifolia,100,EXACT
