Famille	Genres	name	Auteurs déterminateurs
Fabaceae	Senna 	Senna siamea 	(Lam.) Irwin & Barneby
Fabaceae	Sesbania 	Sesbania pachycarpa 	DC.
Fabaceae	Sesbania 	Sesbania sericea 	(Willd.) Link
Fabaceae	Sesbania 	Sesbania sesban (L.) Merrill subsp. punctata 	(DC.) Gillett
Fabaceae	Sesbania 	Sesbania sudanica Gillett subsp. occidentalis 	Gillett
Fabaceae	Sophora	Sophora occidentalis 	L.
Fabaceae	Sphenostylis	Sphenostylis stenocarpa	(Hochst ex A.Rich)Harms
Fabaceae	Sphenostylis 	Sphenostylis holosericea 	(Welw. ex Baker) Harms
Fabaceae	Sphenostylis 	Sphenostylis schweinfurthii 	Harms
Fabaceae	Stylosanthes	Stylosanthes erecta 	P.Beauv.
Fabaceae	Stylosanthes	Stylosanthes fruticosa 	(Retz.) Alston
Fabaceae	Stylosanthes	Stylosanthes guianensis 	(Aubl.) Sw.
Fabaceae	Swartzia	Swartzia madagascariensis 	Desv.
Fabaceae	Tamarindus 	Tamarindus indica 	L.
Fabaceae	Tephrosia	Tephrosia bracteolata 	Guill. & Perr.
Fabaceae	Tephrosia	Tephrosia elegans 	Schum.
Fabaceae	Tephrosia	Tephrosia flexuosa 	G. Don
Fabaceae	Tephrosia	Tephrosia mossiensis 	A. Chev.
Fabaceae	Tephrosia	Tephrosia nana 	Kotschy ex Schweinf.
Fabaceae	Tephrosia	Tephrosia pedicellata 	Baker
Fabaceae	Tephrosia	Tephrosia pumila 	(Lam.) Pers.
Fabaceae	Tephrosia	Tephrosia purpurea 	(L.) Pers.
Fabaceae	Tephrosia 	Tephrosia linearis 	(Willd.)Pers.
Fabaceae	Tephrosia 	Tephrosia villosa	(L.) Pers.
Fabaceae	Teramnus 	Teramnus andongensis 	(Welw. ex Baker) Bak. f.
Fabaceae	Teramnus 	Teramnus buettneri 	(Harms) Bak. f.
Fabaceae	Teramnus 	Teramnus labialis 	(L.f.) Spreng.
Fabaceae	Teramnus 	Teramnus micans 	(Welw. ex Baker) Baker f.
Fabaceae	Tetrapleura 	Tetrapleura tetraptera 	(Schum.& Thonn.) Taub.
Fabaceae	Uraria 	Uraria picta 	(Jacq.) DC.
Fabaceae	Vigna	Vigna filicaulis	Hepper
Fabaceae	Vigna 	Vigna ambacensis 	Welw. ex Baker
Fabaceae	Vigna 	Vigna desmodioides	 Wilczek
Fabaceae	Vigna 	Vigna marina 	(Burm.) Merr.
